timestamp,device_id,voltage,current,power,frequency,temperature,latency,packet_loss,throughput,duplicate_packet,checksum_valid,authentication_fail,label,label_name
2026-05-31 09:03:58.512,SGD-0012,211.0314,6.9565,1309.195,50.0087,32.279,15.96,0.51,95.04,0,1,0,0,0
2026-05-31 09:03:58.614,SGD-0038,212.7232,5.2241,895.0078,49.9628,27.746,20.12,0.47,94.63,0,1,1,0,0
2026-05-31 09:03:58.716,SGD-0037,228.0309,4.0695,790.4598,49.9949,29.717,21.49,0.43,94.13,1,1,0,0,0
2026-05-31 09:03:58.817,SGD-0017,227.3998,5.15,1054.4167,49.9505,30.327,17.07,0.66,92.27,0,1,0,0,0
2026-05-31 09:03:58.918,SGD-0008,208.8243,5.925,1126.1387,50.2645,34.114,18.44,0.84,85.45,0,1,0,2,2
2026-05-31 09:03:59.019,SGD-0049,225.3315,4.8961,1005.8849,49.9544,34.864,24.32,0.43,92.3,0,1,0,0,0
2026-05-31 09:03:59.121,SGD-0005,227.5732,4.599,859.8721,50.0379,30.111,19.0,0.4,92.4,0,1,1,0,0
2026-05-31 09:03:59.226,SGD-0022,217.0586,5.908,1276.8857,50.0481,28.396,17.75,0.57,94.72,0,1,0,0,0
2026-05-31 09:03:59.327,SGD-0001,225.5098,5.4663,1072.2013,50.0052,28.845,19.15,0.43,94.89,1,1,0,0,0
2026-05-31 09:03:59.429,SGD-0014,217.5944,4.4825,810.4025,50.0156,28.046,17.49,0.35,95.22,1,1,0,0,0
2026-05-31 09:03:59.531,SGD-0026,210.8767,5.9287,1100.9437,49.9236,37.39,18.4,1.02,88.89,1,1,0,2,2
2026-05-31 09:03:59.633,SGD-0024,225.8211,4.9942,925.797,50.0567,28.534,17.48,0.42,91.93,0,1,0,0,0
2026-05-31 09:03:59.735,SGD-0038,212.7428,6.1032,1113.7692,50.0075,30.436,17.85,0.35,92.69,1,1,1,0,0
2026-05-31 09:03:59.836,SGD-0002,220.2875,4.8977,864.913,49.5308,37.871,67.35,7.47,65.43,17,1,3,1,1
2026-05-31 09:03:59.937,SGD-0010,226.891,4.8424,1099.3687,49.9928,37.07,16.73,1.42,90.06,0,1,0,2,2
2026-05-31 09:04:00.039,SGD-0009,224.5717,6.1257,1100.8803,50.0811,56.583,19.66,1.34,87.08,1,1,0,2,2
2026-05-31 09:04:00.141,SGD-0009,220.691,5.6547,1095.4828,50.0185,51.6,20.64,2.62,87.04,5,1,0,2,2
2026-05-31 09:04:00.242,SGD-0031,218.8327,6.7867,1419.7261,49.9894,27.703,25.25,0.42,96.09,0,1,0,0,0
2026-05-31 09:04:00.343,SGD-0029,220.4526,6.9044,1318.7958,49.9383,29.284,17.9,0.48,95.27,0,1,0,0,0
2026-05-31 09:04:00.444,SGD-0036,222.0905,6.7757,1463.1987,49.9723,34.869,16.88,0.44,95.82,1,1,0,0,0
2026-05-31 09:04:00.546,SGD-0041,220.5856,5.2593,861.8393,49.9702,34.03,17.06,0.48,93.32,0,1,0,0,0
2026-05-31 09:04:00.647,SGD-0017,226.2541,5.8376,1288.1009,50.0335,33.404,16.09,0.48,93.91,0,1,0,0,0
2026-05-31 09:04:00.748,SGD-0036,221.1228,5.978,1166.8655,50.0277,35.37,21.8,0.31,97.17,1,1,0,0,0
2026-05-31 09:04:00.849,SGD-0028,212.6125,8.3714,1738.4846,49.7497,44.005,25.16,3.7,82.06,1,0,2,1,1
2026-05-31 09:04:00.950,SGD-0024,225.9782,5.7211,1150.4733,50.0046,30.614,17.2,0.35,90.65,1,1,0,0,0
2026-05-31 09:04:01.051,SGD-0048,219.692,6.457,1218.0901,50.0236,51.944,21.58,0.72,90.64,1,1,0,2,2
2026-05-31 09:04:01.153,SGD-0019,220.2651,6.2644,1121.11,49.9877,35.358,21.27,0.46,95.97,0,1,0,0,0
2026-05-31 09:04:01.254,SGD-0029,220.0843,6.9998,1550.8021,49.9056,29.148,17.89,0.85,96.51,0,1,0,0,0
2026-05-31 09:04:01.355,SGD-0024,225.1912,4.9848,1041.422,50.0574,32.007,17.08,0.39,93.77,0,1,0,0,0
2026-05-31 09:04:01.456,SGD-0013,223.964,6.96,1424.7697,50.0416,34.289,20.96,0.87,96.48,1,1,1,0,0
2026-05-31 09:04:01.558,SGD-0017,225.5948,5.4977,1082.5182,50.082,35.126,19.58,0.37,92.07,0,1,1,0,0
2026-05-31 09:04:01.659,SGD-0014,224.9718,4.0766,774.3807,50.2525,32.769,22.74,0.81,93.53,2,1,0,2,2
2026-05-31 09:04:01.760,SGD-0014,222.3255,4.6974,1095.5454,50.1641,32.324,20.22,0.83,90.25,0,1,0,2,2
2026-05-31 09:04:01.862,SGD-0045,235.0622,6.4561,1309.3436,49.8757,32.435,47.59,0.94,90.78,2,1,0,2,2
2026-05-31 09:04:01.963,SGD-0019,220.2949,5.2389,982.7976,49.9657,32.944,19.0,0.34,97.0,0,1,1,0,0
2026-05-31 09:04:02.064,SGD-0012,210.2887,7.0088,1321.909,50.0619,33.775,14.48,0.47,91.84,0,1,0,0,0
2026-05-31 09:04:02.166,SGD-0021,268.8936,6.4598,1567.6442,51.1498,30.046,38.24,6.35,78.86,2,0,0,1,1
2026-05-31 09:04:02.267,SGD-0036,222.1883,6.6037,1337.3291,50.0877,36.0,18.08,0.28,95.09,0,1,1,0,0
2026-05-31 09:04:02.368,SGD-0020,223.0578,4.1542,883.1659,49.9611,32.159,18.88,0.37,95.89,0,1,0,0,0
2026-05-31 09:04:02.470,SGD-0041,219.5867,4.7005,959.3796,50.0161,33.276,19.19,0.4,95.0,0,1,1,0,0
2026-05-31 09:04:02.571,SGD-0018,264.5981,5.6464,1333.8324,53.7891,38.734,58.31,5.96,66.07,6,1,3,1,1
2026-05-31 09:04:02.673,SGD-0017,227.0972,5.3106,1081.0744,50.048,36.387,22.73,0.52,94.15,0,1,0,0,0
2026-05-31 09:04:02.774,SGD-0023,217.4321,6.046,1240.3035,50.0009,28.789,19.95,0.48,94.68,0,0,0,0,0
2026-05-31 09:04:02.876,SGD-0017,228.2662,5.7076,1193.7507,50.0681,33.72,22.3,0.46,91.98,1,1,0,0,0
2026-05-31 09:04:02.977,SGD-0020,223.4212,3.7427,670.003,49.9962,31.622,23.4,0.68,96.78,0,1,0,0,0
2026-05-31 09:04:03.079,SGD-0041,218.6535,5.6151,1054.3361,50.0471,31.142,22.42,0.38,92.87,0,1,1,0,0
2026-05-31 09:04:03.180,SGD-0039,225.4327,4.7825,1055.714,49.9724,29.924,20.16,0.62,94.19,1,1,0,0,0
2026-05-31 09:04:03.282,SGD-0023,218.9994,6.1775,1275.1791,49.9819,31.601,17.92,0.35,91.95,0,1,0,0,0
2026-05-31 09:04:03.383,SGD-0007,225.1569,5.5562,961.5012,50.0679,33.295,20.27,0.5,95.11,0,1,0,0,0
2026-05-31 09:04:03.485,SGD-0046,207.5676,5.3651,993.0917,49.9585,34.097,16.97,0.55,96.55,0,1,0,0,0
2026-05-31 09:04:03.586,SGD-0032,221.3829,7.1676,1381.0697,50.0142,30.213,17.59,0.48,93.1,1,1,1,0,0
2026-05-31 09:04:03.688,SGD-0005,226.8517,4.9559,1035.1957,50.047,30.067,19.04,0.39,91.45,0,1,0,0,0
2026-05-31 09:04:03.790,SGD-0023,219.7305,5.4773,1080.9921,49.9797,32.644,16.69,0.42,90.97,2,1,0,0,0
