Model,Iterasi,Seed,CV_Acc_Mean,CV_Acc_Std
Decision Tree,1,42,0.949,0.0026
Decision Tree,2,49,0.9492,0.0022
Decision Tree,3,56,0.9492,0.002
Decision Tree,4,63,0.9489,0.0022
Decision Tree,5,70,0.949,0.0028
Random Forest,1,42,0.955,0.0018
Random Forest,2,49,0.9553,0.0017
Random Forest,3,56,0.9554,0.0016
Random Forest,4,63,0.9554,0.0014
Random Forest,5,70,0.9554,0.0017
Logistic Regression,1,42,0.9014,0.0016
Logistic Regression,2,49,0.9014,0.0016
Logistic Regression,3,56,0.9014,0.0016
Logistic Regression,4,63,0.9014,0.0016
Logistic Regression,5,70,0.9014,0.0016
