timestamp,device_id,packet_size,latency,signal_strength,memory_usage,battery_level,cpu_usage,failed_packets,status
2022-01-01 00:00:00.000000,V-01,2463.94,458.68,-106.96,85.86,18.26,91.23,75,1
2022-01-02 00:01:26.486486,V-01,2042.82,533.09,-105.5,88.3,0.12,97.54,62,1
2022-01-03 00:02:52.972972,V-01,1871.43,486.13,-95.74,90.93,9.73,95.51,86,1
2022-01-04 00:04:19.459459,V-01,2284.44,561.49,-93.94,91.34,14.46,94.37,51,1
2022-01-05 00:05:45.945945,V-01,2115.97,585.79,-101.7,94.12,7.31,94.35,62,1
2022-01-06 00:07:12.432432,V-01,1778.41,503.08,-90.24,96.39,1.02,90.57,86,1
2022-01-07 00:08:38.918918,V-01,1862.0,499.7,-96.3,85.02,7.56,93.24,56,1
2022-01-08 00:10:05.405405,V-01,1931.32,559.16,-96.96,89.4,8.13,94.61,86,1
2022-01-09 00:11:31.891891,V-01,1853.24,503.13,-78.23,96.4,19.54,98.64,93,1
2022-01-10 00:12:58.378378,V-01,2076.24,477.08,-121.47,85.95,11.33,90.95,68,1
2022-01-11 00:14:24.864864,V-01,2029.86,449.58,-108.82,89.83,4.53,92.55,69,1
2022-01-12 00:15:51.351351,V-01,2136.55,498.81,-99.09,87.48,11.82,96.34,82,1
2022-01-13 00:17:17.837837,V-01,1812.3,466.92,-114.36,93.67,8.29,98.7,80,1
2022-01-14 00:18:44.324324,V-01,1951.93,461.56,-109.61,98.09,16.65,98.74,59,1
2022-01-15 00:20:10.810810,V-01,2218.97,532.71,-110.59,92.7,3.15,97.24,54,1
2022-01-16 00:21:37.297297,V-01,2526.85,554.84,-89.89,99.69,6.88,98.33,52,1
2022-01-17 00:23:03.783783,V-01,2205.04,469.49,-90.29,99.2,17.28,95.2,45,1
2022-01-18 00:24:30.270270,V-01,2034.61,473.46,-91.45,85.26,19.42,91.11,62,1
2022-01-19 00:25:56.756756,V-01,1972.22,378.51,-109.93,92.21,15.62,99.08,48,1
2022-01-20 00:27:23.243243,V-01,2163.86,470.94,-121.48,98.17,14.82,98.23,81,1
2022-01-21 00:28:49.729729,V-01,1941.99,470.41,-107.76,88.14,12.52,90.13,99,1
2022-01-22 00:30:16.216216,V-01,2133.36,502.77,-92.82,97.54,6.0,91.42,67,1
2022-01-23 00:31:42.702702,V-01,2146.03,432.81,-94.03,91.06,15.34,91.27,80,1
2022-01-24 00:33:09.189189,V-01,1649.1,465.66,-92.06,95.96,1.54,96.04,72,1
2022-01-25 00:34:35.675675,V-01,2697.98,378.34,-94.66,95.05,1.45,90.22,39,1
2022-01-26 00:36:02.162162,V-01,2064.07,488.98,-94.58,87.61,10.32,91.76,35,1
2022-01-27 00:37:28.648648,V-01,2324.76,431.26,-101.81,92.73,1.22,94.58,47,1
2022-01-28 00:38:55.135135,V-01,2272.18,593.56,-88.24,98.48,8.45,92.37,59,1
2022-01-29 00:40:21.621621,V-01,1553.86,480.69,-92.02,96.82,16.52,95.37,97,1
2022-01-30 00:41:48.108108,V-01,1797.56,428.42,-104.1,92.6,12.38,91.25,95,1
2022-01-31 00:43:14.594594,V-01,1705.57,608.77,-106.36,85.24,13.88,96.28,25,1
2022-02-01 00:44:41.081081,V-01,1983.67,537.92,-101.87,91.87,2.15,93.08,29,1
2022-02-02 00:46:07.567567,V-01,1549.6,535.49,-75.46,85.3,13.26,99.98,21,1
2022-02-03 00:47:34.054054,V-01,2271.2,474.06,-109.41,97.13,2.08,92.13,89,1
2022-02-04 00:49:00.540540,V-01,2317.02,385.34,-95.77,98.88,17.61,92.53,20,1
2022-02-05 00:50:27.027027,V-01,2448.44,550.65,-105.56,96.71,16.46,91.78,66,1
2022-02-06 00:51:53.513513,V-01,2153.24,519.64,-102.98,88.26,5.93,99.44,72,1
2022-02-07 00:53:20.000000,V-01,1710.78,447.74,-115.27,89.81,10.03,99.11,38,1
2022-02-08 00:54:46.486486,V-01,2235.92,577.72,-93.67,85.89,13.82,95.1,93,1
2022-02-09 00:56:12.972972,V-01,1600.51,488.12,-113.58,90.71,16.52,96.97,86,1
